,asli,tanpa_stopword,lemmatized
34,"['sars', 'and', 'ebola', 'are', 'contagious', 'only', 'when', 'symptoms', 'appear']","['sars', 'ebola', 'contagious', 'symptoms', 'appear']","['sars', 'ebola', 'contagious', 'symptom', 'appear']"
35,"['such', 'outbreaks', 'are', 'relatively', 'easy', 'to', 'stop', 'identify', 'and', 'isolate', 'people', 'who', 'are', 'sick', 'and', 'monitor', 'anyone', 'they', 'came', 'into', 'contact', 'with']","['outbreaks', 'relatively', 'easy', 'stop', 'identify', 'isolate', 'people', 'sick', 'monitor', 'anyone', 'came', 'contact']","['outbreak', 'relatively', 'easy', 'stop', 'identify', 'isolate', 'people', 'sick', 'monitor', 'anyone', 'came', 'contact']"
36,"['but', 'symptomless', 'spreaders', 'are', 'much', 'harder', 'to', 'stop']","['symptomless', 'spreaders', 'much', 'harder', 'stop']","['symptomless', 'spreader', 'much', 'harder', 'stop']"
37,"['there', 'are', 'thousands', 'of', 'new', 'cases', 'being', 'reported', 'each', 'day']","['thousands', 'new', 'cases', 'reported', 'day']","['thousand', 'new', 'case', 'reported', 'day']"
38,"['however', 'outbreak', 'analysts', 'believe', 'these', 'are', 'only', 'the', 'tip', 'of', 'the', 'iceberg']","['however', 'outbreak', 'analysts', 'believe', 'tip', 'iceberg']","['however', 'outbreak', 'analyst', 'believe', 'tip', 'iceberg']"
39,"['their', 'mathematical', 'models', 'suggest', 'the', 'true', 'scale', 'of', 'the', 'outbreak', 'could', 'be', '10', 'times', 'larger', 'than', 'the', 'official', 'figures']","['mathematical', 'models', 'suggest', 'true', 'scale', 'outbreak', 'could', '10', 'times', 'larger', 'official', 'figures']","['mathematical', 'model', 'suggest', 'true', 'scale', 'outbreak', 'could', '10', 'time', 'larger', 'official', 'figure']"
40,"['multiple', 'groups', 'have', 'estimated', 'the', 'number', 'of', 'cases', 'is', 'doubling', 'every', 'five', 'to', 'seven', 'days']","['multiple', 'groups', 'estimated', 'number', 'cases', 'doubling', 'every', 'five', 'seven', 'days']","['multiple', 'group', 'estimated', 'number', 'case', 'doubling', 'every', 'five', 'seven', 'day']"
41,"['the', 'world', 'health', 'organization', 'who', 'says', 'the', 'virus', 'is', 'a', 'public', 'health', 'emergency', 'of', 'international', 'concern', 'as', 'it', 'did', 'with', 'swine', 'flu', 'and', 'ebola']","['world', 'health', 'organization', 'says', 'virus', 'public', 'health', 'emergency', 'international', 'concern', 'swine', 'flu', 'ebola']","['world', 'health', 'organization', 'say', 'virus', 'public', 'health', 'emergency', 'international', 'concern', 'swine', 'flu', 'ebola']"
42,"['it', 'said', 'it', 'has', 'done', 'so', 'in', 'order', 'to', 'provide', 'extra', 'support', 'to', 'lower', 'and', 'middle', 'income', 'countries', 'with', 'weaker', 'health', 'systems', 'that', 'might', 'not', 'be', 'able', 'to', 'spot', 'or', 'isolate', 'cases', 'of', 'coronavirus']","['said', 'done', 'order', 'provide', 'extra', 'support', 'lower', 'middle', 'income', 'countries', 'weaker', 'health', 'systems', 'might', 'able', 'spot', 'isolate', 'cases', 'coronavirus']","['said', 'done', 'order', 'provide', 'extra', 'support', 'lower', 'middle', 'income', 'country', 'weaker', 'health', 'system', 'might', 'able', 'spot', 'isolate', 'case', 'coronavirus']"
43,"['the', 'virus', 'seems', 'to', 'be', 'quite', 'stable', 'so', 'far']","['virus', 'seems', 'quite', 'stable', 'far']","['virus', 'seems', 'quite', 'stable', 'far']"
